Driver,Actual_Position,Race_Name
Max Verstappen,1,Bahrain GP
Lewis Hamilton,2,Bahrain GP
Charles Leclerc,3,Bahrain GP
Lando Norris,4,Bahrain GP
George Russell,5,Bahrain GP
Max Verstappen,1,Saudi Arabia GP
Charles Leclerc,2,Saudi Arabia GP
Lewis Hamilton,3,Saudi Arabia GP
Carlos Sainz,4,Saudi Arabia GP
Lando Norris,5,Saudi Arabia GP
Max Verstappen,1,Australia GP
Lewis Hamilton,2,Australia GP
George Russell,3,Australia GP
Fernando Alonso,4,Australia GP
Charles Leclerc,5,Australia GP
Max Verstappen,1,Japan GP
Lando Norris,2,Japan GP
Charles Leclerc,3,Japan GP
Lewis Hamilton,4,Japan GP
Oscar Piastri,5,Japan GP
Max Verstappen,1,China GP
Lewis Hamilton,2,China GP
Charles Leclerc,3,China GP
George Russell,4,China GP
Carlos Sainz,5,China GP
