year,race,driver,predicted_position,probability,final_position,abs_error
2023,Abu Dhabi Grand Prix,ALB,14,21.44,11.0,3.0
2023,Abu Dhabi Grand Prix,ALO,3,34.91,4.0,1.0
2023,Abu Dhabi Grand Prix,BOT,19,21.4,7.0,12.0
2023,Abu Dhabi Grand Prix,GAS,7,14.92,5.0,2.0
2023,Abu Dhabi Grand Prix,HAM,4,31.3,6.0,2.0
2023,Abu Dhabi Grand Prix,HUL,15,24.91,13.0,2.0
2023,Abu Dhabi Grand Prix,LEC,3,41.94,1.0,2.0
2023,Abu Dhabi Grand Prix,MAG,15,15.98,17.0,2.0
2023,Abu Dhabi Grand Prix,NOR,5,23.25,3.0,2.0
2023,Abu Dhabi Grand Prix,OCO,8,18.95,8.0,0.0
2023,Abu Dhabi Grand Prix,PER,14,16.99,2.0,12.0
2023,Abu Dhabi Grand Prix,PIA,6,24.87,3.0,3.0
2023,Abu Dhabi Grand Prix,RIC,11,19.52,8.0,3.0
2023,Abu Dhabi Grand Prix,RUS,4,57.38,3.0,1.0
2023,Abu Dhabi Grand Prix,SAI,11,35.26,3.0,8.0
2023,Abu Dhabi Grand Prix,SAR,15,24.08,14.0,1.0
2023,Abu Dhabi Grand Prix,STR,10,27.88,2.0,8.0
2023,Abu Dhabi Grand Prix,TSU,8,23.11,1.0,7.0
2023,Abu Dhabi Grand Prix,VER,1,94.18,1.0,0.0
2023,Abu Dhabi Grand Prix,ZHO,11,17.37,14.0,3.0
2023,Australian Grand Prix,ALB,6,53.08,6.0,0.0
2023,Australian Grand Prix,ALO,9,20.86,3.0,6.0
2023,Australian Grand Prix,BOT,14,25.48,12.0,2.0
2023,Australian Grand Prix,DEV,14,17.67,12.0,2.0
2023,Australian Grand Prix,GAS,5,27.5,4.0,1.0
2023,Australian Grand Prix,HAM,2,41.14,1.0,1.0
2023,Australian Grand Prix,HUL,9,20.36,6.0,3.0
2023,Australian Grand Prix,MAG,12,19.77,12.0,0.0
2023,Australian Grand Prix,NOR,8,30.16,7.0,1.0
2023,Australian Grand Prix,OCO,10,31.02,10.0,0.0
2023,Australian Grand Prix,PER,7,20.32,6.0,1.0
2023,Australian Grand Prix,PIA,8,26.41,9.0,1.0
2023,Australian Grand Prix,RUS,3,17.06,1.0,2.0
2023,Australian Grand Prix,SAI,4,47.09,4.0,0.0
2023,Australian Grand Prix,SAR,16,25.81,15.0,1.0
2023,Australian Grand Prix,STR,6,32.78,4.0,2.0
2023,Australian Grand Prix,TSU,14,28.36,8.0,6.0
2023,Australian Grand Prix,VER,1,88.61,1.0,0.0
2023,Australian Grand Prix,ZHO,13,23.33,10.0,3.0
2023,Austrian Grand Prix,ALB,3,21.31,9.0,6.0
2023,Austrian Grand Prix,ALO,6,52.54,4.0,2.0
2023,Austrian Grand Prix,BOT,16,31.91,10.0,6.0
2023,Austrian Grand Prix,DEV,15,31.91,15.0,0.0
2023,Austrian Grand Prix,GAS,9,44.59,6.0,3.0
2023,Austrian Grand Prix,HAM,8,25.07,4.0,4.0
2023,Austrian Grand Prix,HUL,8,56.62,7.0,1.0
2023,Austrian Grand Prix,LEC,2,59.28,1.0,1.0
2023,Austrian Grand Prix,MAG,19,34.58,8.0,11.0
2023,Austrian Grand Prix,NOR,9,23.2,4.0,5.0
2023,Austrian Grand Prix,OCO,12,34.03,11.0,1.0
2023,Austrian Grand Prix,PER,3,46.07,2.0,1.0
2023,Austrian Grand Prix,PIA,18,42.38,13.0,5.0
2023,Austrian Grand Prix,RUS,6,23.15,8.0,2.0
2023,Austrian Grand Prix,SAI,4,58.74,2.0,2.0
2023,Austrian Grand Prix,SAR,13,37.72,9.0,4.0
2023,Austrian Grand Prix,STR,10,60.28,6.0,4.0
2023,Austrian Grand Prix,TSU,17,34.38,8.0,9.0
2023,Austrian Grand Prix,VER,1,90.06,1.0,0.0
2023,Austrian Grand Prix,ZHO,14,31.62,13.0,1.0
2023,Azerbaijan Grand Prix,ALB,12,34.59,12.0,0.0
2023,Azerbaijan Grand Prix,ALO,4,45.32,4.0,0.0
2023,Azerbaijan Grand Prix,BOT,14,21.3,17.0,3.0
2023,Azerbaijan Grand Prix,DEV,16,26.75,12.0,4.0
2023,Azerbaijan Grand Prix,GAS,14,32.11,14.0,0.0
2023,Azerbaijan Grand Prix,HAM,5,25.29,5.0,0.0
2023,Azerbaijan Grand Prix,HUL,16,26.1,9.0,7.0
2023,Azerbaijan Grand Prix,LEC,3,39.4,1.0,2.0
