year,race,driver,position,probability
2024,Austria,RUS,1,0.25
2024,Austria,RUS,2,15.66
2024,Austria,RUS,3,8.29
2024,Austria,RUS,4,7.97
2024,Austria,RUS,5,0.43
2024,Austria,RUS,6,23.15
2024,Austria,RUS,7,6.41
2024,Austria,RUS,8,19.24
2024,Austria,RUS,9,17.23
2024,Austria,RUS,10,0.52
2024,Austria,RUS,11,0.09
2024,Austria,RUS,12,0.48
2024,Austria,RUS,13,0.05
2024,Austria,RUS,14,0.07
2024,Austria,RUS,15,0.02
2024,Austria,RUS,16,0.02
2024,Austria,RUS,17,0.01
2024,Austria,RUS,18,0.06
2024,Austria,RUS,19,0.05
2024,Austria,RUS,20,0.0
2024,Austria,PIA,1,0.0
2024,Austria,PIA,2,18.19
2024,Austria,PIA,3,1.74
2024,Austria,PIA,4,4.02
2024,Austria,PIA,5,7.59
2024,Austria,PIA,6,4.36
2024,Austria,PIA,7,0.11
2024,Austria,PIA,8,2.07
2024,Austria,PIA,9,24.83
2024,Austria,PIA,10,12.46
2024,Austria,PIA,11,2.25
2024,Austria,PIA,12,7.3
2024,Austria,PIA,13,2.78
2024,Austria,PIA,14,3.42
2024,Austria,PIA,15,0.41
2024,Austria,PIA,16,0.95
2024,Austria,PIA,17,1.84
2024,Austria,PIA,18,5.39
2024,Austria,PIA,19,0.26
2024,Austria,PIA,20,0.01
2024,Austria,SAI,1,0.05
2024,Austria,SAI,2,12.64
2024,Austria,SAI,3,1.1
2024,Austria,SAI,4,48.82
2024,Austria,SAI,5,8.18
2024,Austria,SAI,6,11.79
2024,Austria,SAI,7,0.58
2024,Austria,SAI,8,4.18
2024,Austria,SAI,9,7.52
2024,Austria,SAI,10,0.96
2024,Austria,SAI,11,0.16
2024,Austria,SAI,12,1.5
2024,Austria,SAI,13,0.22
2024,Austria,SAI,14,0.38
2024,Austria,SAI,15,0.1
2024,Austria,SAI,16,0.04
2024,Austria,SAI,17,0.22
2024,Austria,SAI,18,1.51
2024,Austria,SAI,19,0.06
2024,Austria,SAI,20,0.01
2024,Austria,HAM,1,0.17
2024,Austria,HAM,2,21.05
2024,Austria,HAM,3,7.34
2024,Austria,HAM,4,8.36
2024,Austria,HAM,5,0.71
2024,Austria,HAM,6,19.64
2024,Austria,HAM,7,8.68
2024,Austria,HAM,8,25.65
2024,Austria,HAM,9,5.19
2024,Austria,HAM,10,0.54
2024,Austria,HAM,11,0.09
2024,Austria,HAM,12,1.08
2024,Austria,HAM,13,0.41
2024,Austria,HAM,14,0.55
2024,Austria,HAM,15,0.02
2024,Austria,HAM,16,0.02
2024,Austria,HAM,17,0.35
2024,Austria,HAM,18,0.12
2024,Austria,HAM,19,0.05
2024,Austria,HAM,20,0.0
2024,Austria,VER,1,86.06
2024,Austria,VER,2,1.0
2024,Austria,VER,3,2.83
2024,Austria,VER,4,0.33
2024,Austria,VER,5,0.0
2024,Austria,VER,6,0.0
2024,Austria,VER,7,0.0
2024,Austria,VER,8,0.33
2024,Austria,VER,9,0.67
2024,Austria,VER,10,4.67
2024,Austria,VER,11,0.0
2024,Austria,VER,12,0.33
2024,Austria,VER,13,1.09
2024,Austria,VER,14,0.33
2024,Austria,VER,15,0.65
2024,Austria,VER,16,0.36
2024,Austria,VER,17,1.0
2024,Austria,VER,18,0.33
2024,Austria,VER,19,0.0
2024,Austria,VER,20,0.0
2024,Austria,HUL,1,2.47
2024,Austria,HUL,2,5.14
2024,Austria,HUL,3,16.79
2024,Austria,HUL,4,1.29
