year,race,driver,position,probability
2025,Spanish Grand Prix,VER,1,85.23
2025,Spanish Grand Prix,VER,2,0.83
2025,Spanish Grand Prix,VER,3,1.22
2025,Spanish Grand Prix,VER,4,2.04
2025,Spanish Grand Prix,VER,5,0.0
2025,Spanish Grand Prix,VER,6,0.12
2025,Spanish Grand Prix,VER,7,0.12
2025,Spanish Grand Prix,VER,8,0.06
2025,Spanish Grand Prix,VER,9,0.26
2025,Spanish Grand Prix,VER,10,1.25
2025,Spanish Grand Prix,VER,11,0.23
2025,Spanish Grand Prix,VER,12,0.75
2025,Spanish Grand Prix,VER,13,0.24
2025,Spanish Grand Prix,VER,14,0.25
2025,Spanish Grand Prix,VER,15,0.32
2025,Spanish Grand Prix,VER,16,0.69
2025,Spanish Grand Prix,VER,17,6.2
2025,Spanish Grand Prix,VER,18,0.08
2025,Spanish Grand Prix,VER,19,0.06
2025,Spanish Grand Prix,VER,20,0.06
2025,Spanish Grand Prix,GAS,1,0.1
2025,Spanish Grand Prix,GAS,2,1.64
2025,Spanish Grand Prix,GAS,3,1.13
2025,Spanish Grand Prix,GAS,4,2.97
2025,Spanish Grand Prix,GAS,5,15.79
2025,Spanish Grand Prix,GAS,6,3.81
2025,Spanish Grand Prix,GAS,7,2.38
2025,Spanish Grand Prix,GAS,8,15.83
2025,Spanish Grand Prix,GAS,9,4.77
2025,Spanish Grand Prix,GAS,10,19.65
2025,Spanish Grand Prix,GAS,11,10.03
2025,Spanish Grand Prix,GAS,12,2.96
2025,Spanish Grand Prix,GAS,13,3.95
2025,Spanish Grand Prix,GAS,14,4.54
2025,Spanish Grand Prix,GAS,15,2.42
2025,Spanish Grand Prix,GAS,16,2.36
2025,Spanish Grand Prix,GAS,17,2.06
2025,Spanish Grand Prix,GAS,18,0.85
2025,Spanish Grand Prix,GAS,19,2.71
2025,Spanish Grand Prix,GAS,20,0.05
2025,Spanish Grand Prix,ANT,1,0.07
2025,Spanish Grand Prix,ANT,2,9.15
2025,Spanish Grand Prix,ANT,3,4.9
2025,Spanish Grand Prix,ANT,4,13.99
2025,Spanish Grand Prix,ANT,5,12.04
2025,Spanish Grand Prix,ANT,6,16.73
2025,Spanish Grand Prix,ANT,7,3.43
2025,Spanish Grand Prix,ANT,8,10.56
2025,Spanish Grand Prix,ANT,9,3.04
2025,Spanish Grand Prix,ANT,10,4.99
2025,Spanish Grand Prix,ANT,11,3.64
2025,Spanish Grand Prix,ANT,12,3.04
2025,Spanish Grand Prix,ANT,13,1.43
2025,Spanish Grand Prix,ANT,14,4.98
2025,Spanish Grand Prix,ANT,15,3.06
2025,Spanish Grand Prix,ANT,16,1.98
2025,Spanish Grand Prix,ANT,17,1.73
2025,Spanish Grand Prix,ANT,18,0.34
2025,Spanish Grand Prix,ANT,19,0.83
2025,Spanish Grand Prix,ANT,20,0.05
2025,Spanish Grand Prix,ALO,1,0.02
2025,Spanish Grand Prix,ALO,2,13.34
2025,Spanish Grand Prix,ALO,3,16.58
2025,Spanish Grand Prix,ALO,4,2.43
2025,Spanish Grand Prix,ALO,5,5.05
2025,Spanish Grand Prix,ALO,6,11.62
2025,Spanish Grand Prix,ALO,7,1.51
2025,Spanish Grand Prix,ALO,8,3.16
2025,Spanish Grand Prix,ALO,9,16.81
2025,Spanish Grand Prix,ALO,10,2.44
2025,Spanish Grand Prix,ALO,11,1.89
2025,Spanish Grand Prix,ALO,12,12.23
2025,Spanish Grand Prix,ALO,13,0.91
2025,Spanish Grand Prix,ALO,14,2.3
2025,Spanish Grand Prix,ALO,15,1.28
2025,Spanish Grand Prix,ALO,16,3.95
2025,Spanish Grand Prix,ALO,17,3.81
2025,Spanish Grand Prix,ALO,18,0.23
2025,Spanish Grand Prix,ALO,19,0.43
2025,Spanish Grand Prix,ALO,20,0.01
2025,Spanish Grand Prix,LEC,1,0.07
2025,Spanish Grand Prix,LEC,2,8.01
2025,Spanish Grand Prix,LEC,3,11.87
2025,Spanish Grand Prix,LEC,4,9.51
2025,Spanish Grand Prix,LEC,5,26.75
2025,Spanish Grand Prix,LEC,6,4.83
2025,Spanish Grand Prix,LEC,7,1.04
2025,Spanish Grand Prix,LEC,8,2.01
2025,Spanish Grand Prix,LEC,9,1.75
2025,Spanish Grand Prix,LEC,10,4.16
2025,Spanish Grand Prix,LEC,11,0.52
2025,Spanish Grand Prix,LEC,12,21.1
2025,Spanish Grand Prix,LEC,13,0.28
2025,Spanish Grand Prix,LEC,14,0.23
2025,Spanish Grand Prix,LEC,15,0.37
2025,Spanish Grand Prix,LEC,16,0.77
2025,Spanish Grand Prix,LEC,17,4.49
2025,Spanish Grand Prix,LEC,18,2.21
2025,Spanish Grand Prix,LEC,19,0.0
2025,Spanish Grand Prix,LEC,20,0.0
2025,Spanish Grand Prix,TSU,1,1.91
2025,Spanish Grand Prix,TSU,2,0.98
2025,Spanish Grand Prix,TSU,3,2.42
2025,Spanish Grand Prix,TSU,4,4.7
2025,Spanish Grand Prix,TSU,5,0.15
2025,Spanish Grand Prix,TSU,6,1.77
2025,Spanish Grand Prix,TSU,7,0.95
2025,Spanish Grand Prix,TSU,8,1.17
2025,Spanish Grand Prix,TSU,9,4.43
2025,Spanish Grand Prix,TSU,10,5.53
2025,Spanish Grand Prix,TSU,11,7.95
2025,Spanish Grand Prix,TSU,12,7.03
2025,Spanish Grand Prix,TSU,13,3.5
