year,race,driver,position,probability
2025,Spanish Grand Prix,VER,1,18.99
2025,Spanish Grand Prix,VER,2,7.82
2025,Spanish Grand Prix,VER,3,3.0
2025,Spanish Grand Prix,VER,4,5.63
2025,Spanish Grand Prix,VER,5,2.22
2025,Spanish Grand Prix,VER,6,6.0
2025,Spanish Grand Prix,VER,7,0.59
2025,Spanish Grand Prix,VER,8,1.55
2025,Spanish Grand Prix,VER,9,0.29
2025,Spanish Grand Prix,VER,10,53.21
2025,Spanish Grand Prix,VER,11,0.13
2025,Spanish Grand Prix,VER,12,0.05
2025,Spanish Grand Prix,VER,13,0.0
2025,Spanish Grand Prix,VER,14,0.06
2025,Spanish Grand Prix,VER,15,0.22
2025,Spanish Grand Prix,VER,16,0.0
2025,Spanish Grand Prix,VER,17,0.02
2025,Spanish Grand Prix,VER,18,0.0
2025,Spanish Grand Prix,VER,19,0.23
2025,Spanish Grand Prix,VER,20,0.0
2025,Spanish Grand Prix,GAS,1,0.12
2025,Spanish Grand Prix,GAS,2,1.52
2025,Spanish Grand Prix,GAS,3,1.02
2025,Spanish Grand Prix,GAS,4,1.28
2025,Spanish Grand Prix,GAS,5,2.21
2025,Spanish Grand Prix,GAS,6,1.49
2025,Spanish Grand Prix,GAS,7,15.69
2025,Spanish Grand Prix,GAS,8,30.11
2025,Spanish Grand Prix,GAS,9,5.23
2025,Spanish Grand Prix,GAS,10,10.19
2025,Spanish Grand Prix,GAS,11,3.21
2025,Spanish Grand Prix,GAS,12,6.23
2025,Spanish Grand Prix,GAS,13,5.39
2025,Spanish Grand Prix,GAS,14,2.14
2025,Spanish Grand Prix,GAS,15,4.81
2025,Spanish Grand Prix,GAS,16,0.98
2025,Spanish Grand Prix,GAS,17,1.46
2025,Spanish Grand Prix,GAS,18,2.88
2025,Spanish Grand Prix,GAS,19,2.65
2025,Spanish Grand Prix,GAS,20,1.39
2025,Spanish Grand Prix,ANT,1,0.68
2025,Spanish Grand Prix,ANT,2,3.64
2025,Spanish Grand Prix,ANT,3,3.67
2025,Spanish Grand Prix,ANT,4,6.22
2025,Spanish Grand Prix,ANT,5,4.95
2025,Spanish Grand Prix,ANT,6,10.17
2025,Spanish Grand Prix,ANT,7,3.71
2025,Spanish Grand Prix,ANT,8,4.52
2025,Spanish Grand Prix,ANT,9,2.35
2025,Spanish Grand Prix,ANT,10,4.22
2025,Spanish Grand Prix,ANT,11,1.13
2025,Spanish Grand Prix,ANT,12,2.54
2025,Spanish Grand Prix,ANT,13,3.71
2025,Spanish Grand Prix,ANT,14,1.36
2025,Spanish Grand Prix,ANT,15,2.01
2025,Spanish Grand Prix,ANT,16,0.3
2025,Spanish Grand Prix,ANT,17,0.94
