Race_Name,Driver,Quote,Predicted_Probability,EV,Actual_Position,Bet_Amount,Outcome,Profit_Loss,Success_Threshold
Bahrain GP,Max Verstappen,1.8,0.55,3.2,1,10,WIN,8.0,3
Bahrain GP,Lewis Hamilton,4.2,0.24,2.1,2,10,WIN,32.0,3
Bahrain GP,Charles Leclerc,5.5,0.18,1.8,3,10,WIN,45.0,3
Bahrain GP,Lando Norris,8.0,0.12,0.9,4,10,LOSS,-10.0,3
Bahrain GP,George Russell,12.0,0.08,0.5,5,10,LOSS,-10.0,3
Saudi Arabia GP,Max Verstappen,1.6,0.62,2.8,1,10,WIN,6.0,3
Saudi Arabia GP,Charles Leclerc,4.8,0.21,2.4,2,10,WIN,38.0,3
Saudi Arabia GP,Lewis Hamilton,5.2,0.19,1.9,3,10,WIN,42.0,3
Saudi Arabia GP,Carlos Sainz,9.5,0.11,1.2,4,10,LOSS,-10.0,3
Saudi Arabia GP,Lando Norris,7.5,0.13,0.8,5,10,LOSS,-10.0,3
Australia GP,Max Verstappen,1.9,0.53,3.1,1,10,WIN,9.0,3
Australia GP,Lewis Hamilton,3.8,0.26,1.7,2,10,WIN,28.0,3
Australia GP,George Russell,11.0,0.09,0.6,3,10,WIN,100.0,3
Australia GP,Fernando Alonso,15.0,0.07,0.4,4,10,LOSS,-10.0,3
Australia GP,Charles Leclerc,6.2,0.16,1.1,5,10,LOSS,-10.0,3
Japan GP,Max Verstappen,1.7,0.59,2.9,1,10,WIN,7.0,3
Japan GP,Lando Norris,6.5,0.15,1.3,2,10,WIN,55.0,3
Japan GP,Charles Leclerc,5.8,0.17,1.4,3,10,WIN,48.0,3
Japan GP,Lewis Hamilton,4.5,0.22,1.8,4,10,LOSS,-10.0,3
Japan GP,Oscar Piastri,18.0,0.06,0.3,5,10,LOSS,-10.0,3
China GP,Max Verstappen,1.5,0.67,3.5,1,10,WIN,5.0,3
China GP,Lewis Hamilton,4.0,0.25,2.2,2,10,WIN,30.0,3
China GP,Charles Leclerc,6.0,0.17,1.6,3,10,WIN,50.0,3
China GP,George Russell,10.5,0.1,0.7,4,10,LOSS,-10.0,3
China GP,Carlos Sainz,8.8,0.11,0.9,5,10,LOSS,-10.0,3
