year,race,driver,fastest_lap,avg_lap,stints,pitstops,laps_completed,track_affinity,team_strength,momentum,final_position
2023,Bahrain Grand Prix,VER,96.236,97.495882,3,0,57.0,0.1,0.5,0.599999640000216,1
2023,Bahrain Grand Prix,GAS,95.068,97.946863,4,0,57.0,0.1,0.7,0.09999999000000101,9
2023,Bahrain Grand Prix,PER,96.344,97.73549,3,0,57.0,0.1,0.5,0.09999999000000101,2
2023,Bahrain Grand Prix,ALO,96.156,98.07356,3,0,57.0,0.1,0.8,0.21428566836735677,3
2023,Bahrain Grand Prix,LEC,97.17,98.413714,3,0,39.0,0.1,0.85,0.16666663888889352,3
2023,Bahrain Grand Prix,STR,96.546,98.238125,3,0,57.0,0.1,0.8,0.09999999000000101,6
2023,Bahrain Grand Prix,SAR,96.037,98.491048,4,0,56.0,0.1,0.5,0.09999999000000101,12
2023,Bahrain Grand Prix,MAG,96.471,98.22475,3,0,56.0,0.1,0.5,0.09999999000000101,13
2023,Bahrain Grand Prix,DEV,97.709,99.0452,3,0,56.0,0.1,0.4,0.09999999000000101,14
2023,Bahrain Grand Prix,TSU,96.637,98.338681,4,0,57.0,0.1,0.4,0.09999999000000101,11
2023,Bahrain Grand Prix,ALB,97.144,98.416954,4,0,57.0,0.1,0.5,0.09999999000000101,10
2023,Bahrain Grand Prix,ZHO,93.996,98.711567,3,0,56.0,0.1,0.4,0.09999999000000101,16
2023,Bahrain Grand Prix,HUL,96.616,98.415,4,0,56.0,0.1,0.5,0.09999999000000101,15
2023,Bahrain Grand Prix,OCO,96.797,99.079392,4,0,39.0,0.1,0.7,0.09999999000000101,18
2023,Bahrain Grand Prix,NOR,95.257,98.19321,6,0,54.0,0.1,0.75,0.09999999000000101,17
2023,Bahrain Grand Prix,HAM,96.546,98.29978,3,0,57.0,0.1,0.9,0.2727271983471277,5
2023,Bahrain Grand Prix,SAI,97.13,98.325705,3,0,57.0,0.1,0.85,0.11111109876543349,4
2023,Bahrain Grand Prix,RUS,97.035,98.280979,3,0,57.0,0.1,0.9,0.29999991000002696,7
2023,Bahrain Grand Prix,BOT,97.379,98.625791,3,0,57.0,0.1,0.4,0.09999999000000101,8
2023,Saudi Arabian Grand Prix,VER,91.906,93.845847,2,0,50.0,0.1,0.5,0.599999640000216,2
2023,Saudi Arabian Grand Prix,GAS,93.392,95.026785,2,0,50.0,0.1,0.7,0.09999999000000101,9
2023,Saudi Arabian Grand Prix,PER,92.188,93.54051,2,0,50.0,0.1,0.5,0.09999999000000101,1
2023,Saudi Arabian Grand Prix,ALO,92.24,94.095723,2,0,50.0,0.1,0.8,0.21428566836735677,3
2023,Saudi Arabian Grand Prix,LEC,93.056,94.756311,2,0,50.0,0.1,0.85,0.16666663888889352,7
2023,Saudi Arabian Grand Prix,STR,95.14,95.787923,2,0,16.0,0.1,0.8,0.09999999000000101,10
2023,Saudi Arabian Grand Prix,SAR,94.469,95.924093,2,0,50.0,0.1,0.5,0.09999999000000101,16
2023,Saudi Arabian Grand Prix,MAG,93.374,95.228333,2,0,50.0,0.1,0.5,0.09999999000000101,10
2023,Saudi Arabian Grand Prix,DEV,93.609,95.651,2,0,50.0,0.1,0.4,0.09999999000000101,14
2023,Saudi Arabian Grand Prix,TSU,93.931,95.512044,2,0,50.0,0.1,0.4,0.09999999000000101,11
2023,Saudi Arabian Grand Prix,ALB,95.567,96.627,2,0,26.0,0.1,0.5,0.09999999000000101,15
2023,Saudi Arabian Grand Prix,ZHO,93.894,95.441571,3,0,50.0,0.1,0.4,0.09999999000000101,13
2023,Saudi Arabian Grand Prix,HUL,93.78,95.457095,2,0,50.0,0.1,0.5,0.09999999000000101,12
2023,Saudi Arabian Grand Prix,OCO,93.222,95.059818,2,0,50.0,0.1,0.7,0.09999999000000101,8
2023,Saudi Arabian Grand Prix,NOR,94.122,95.632309,2,0,50.0,0.1,0.75,0.09999999000000101,17
2023,Saudi Arabian Grand Prix,HAM,92.941,94.632521,2,0,50.0,0.1,0.9,0.2727271983471277,5
2023,Saudi Arabian Grand Prix,SAI,92.822,94.593886,2,0,50.0,0.1,0.85,0.11111109876543349,6
2023,Saudi Arabian Grand Prix,RUS,92.433,94.278869,2,0,50.0,0.1,0.9,0.29999991000002696,4
2023,Saudi Arabian Grand Prix,BOT,94.384,96.189055,4,0,49.0,0.1,0.4,0.09999999000000101,18
2023,Saudi Arabian Grand Prix,PIA,94.287,95.562883,1,0,50.0,0.1,0.75,0.09999999000000101,15
2023,Australian Grand Prix,VER,80.342,81.862159,2,0,53.0,0.1,0.5,0.599999640000216,1
2023,Australian Grand Prix,GAS,80.995,82.288818,2,0,53.0,0.1,0.7,0.09999999000000101,5
2023,Australian Grand Prix,PER,80.235,82.119697,2,0,53.0,0.1,0.5,0.09999999000000101,7
2023,Australian Grand Prix,ALO,80.476,82.085568,2,0,53.0,0.1,0.8,0.21428566836735677,3
2023,Australian Grand Prix,STR,80.934,82.263704,2,0,53.0,0.1,0.8,0.09999999000000101,6
2023,Australian Grand Prix,SAR,81.456,83.712219,3,0,52.0,0.1,0.5,0.09999999000000101,16
2023,Australian Grand Prix,MAG,81.685,83.161558,2,0,52.0,0.1,0.5,0.09999999000000101,12
2023,Australian Grand Prix,DEV,81.183,83.799153,3,0,52.0,0.1,0.4,0.09999999000000101,17
2023,Australian Grand Prix,TSU,81.789,83.370627,2,0,52.0,0.1,0.4,0.09999999000000101,14
