Abbreviation,predicted_position,p_place_1,p_place_2,p_place_3,p_place_4,p_place_5,p_place_6,p_place_8,p_place_9,p_place_10,p_place_11,p_place_12,p_place_13,p_place_14,p_place_15,p_place_16,p_place_17,p_place_18,p_place_19,p_place_20,Position,hit_top_1,hit_top_3,hit_top_10
VER,1,0.705,0.155,0.015,0.065,0.0,0.0,0.015,0.005,0.0,0.0,0.01,0.005,0.0,0.0,0.0,0.015,0.005,0.005,0.0,1,1,1,1
GAS,8,0.025,0.0,0.03,0.21,0.005,0.0,0.685,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,7,0,0,1
PER,19,0.02,0.0,0.0,0.085,0.0,0.0,0.025,0.025,0.045,0.0,0.025,0.0,0.0,0.0,0.0,0.09,0.025,0.645,0.015,16,0,0,0
ALO,2,0.145,0.71,0.065,0.03,0.0,0.0,0.01,0.01,0.0,0.0,0.005,0.0,0.0,0.02,0.0,0.0,0.005,0.0,0.0,2,1,1,1
LEC,8,0.03,0.035,0.07,0.175,0.005,0.0,0.59,0.0,0.01,0.0,0.035,0.0,0.0,0.01,0.0,0.01,0.0,0.03,0.0,6,0,0,1
STR,15,0.0,0.025,0.095,0.0,0.01,0.01,0.0,0.03,0.04,0.0,0.055,0.09,0.015,0.62,0.0,0.0,0.0,0.005,0.005,20,0,0,0
SAR,20,0.005,0.0,0.01,0.025,0.0,0.0,0.005,0.01,0.03,0.0,0.015,0.005,0.015,0.0,0.005,0.185,0.06,0.03,0.6,18,0,0,0
MAG,14,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.05,0.035,0.0,0.045,0.11,0.685,0.04,0.01,0.005,0.0,0.015,0.0,19,0,0,0
DEV,12,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.125,0.005,0.0,0.68,0.045,0.045,0.055,0.0,0.01,0.015,0.0,0.01,12,1,0,0
TSU,9,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.6,0.09,0.0,0.18,0.02,0.015,0.07,0.0,0.015,0.0,0.0,0.005,15,0,0,0
ALB,18,0.015,0.0,0.015,0.055,0.0,0.0,0.005,0.01,0.005,0.0,0.07,0.04,0.0,0.005,0.01,0.07,0.625,0.04,0.035,14,0,0,0
ZHO,17,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.015,0.07,0.0,0.005,0.04,0.0,0.0,0.0,0.645,0.1,0.025,0.08,13,0,0,0
HUL,17,0.015,0.01,0.01,0.03,0.0,0.0,0.0,0.21,0.045,0.0,0.225,0.0,0.005,0.015,0.0,0.32,0.05,0.035,0.03,17,1,0,0
OCO,4,0.015,0.015,0.035,0.685,0.005,0.0,0.19,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.035,0.0,3,0,0,1
NOR,10,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.115,0.655,0.01,0.03,0.01,0.005,0.085,0.0,0.045,0.0,0.01,0.015,9,0,0,1
HAM,2,0.135,0.315,0.125,0.14,0.0,0.0,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.015,0.0,4,0,0,1
SAI,4,0.02,0.055,0.08,0.56,0.02,0.0,0.175,0.0,0.01,0.0,0.015,0.0,0.0,0.015,0.0,0.02,0.0,0.03,0.0,8,0,0,1
RUS,3,0.02,0.09,0.71,0.055,0.0,0.0,0.04,0.015,0.005,0.0,0.015,0.0,0.0,0.03,0.0,0.015,0.005,0.0,0.0,5,0,0,1
BOT,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.055,0.0,0.025,0.65,0.075,0.03,0.015,0.025,0.06,0.02,0.02,11,0,0,0
PIA,12,0.0,0.005,0.01,0.005,0.015,0.0,0.01,0.245,0.18,0.005,0.295,0.025,0.005,0.14,0.0,0.04,0.005,0.0,0.015,10,0,0,0
