year,race,driver,position,probability
2023,Monaco,VER,1,88.22
2023,Monaco,VER,2,3.89
2023,Monaco,VER,3,1.34
2023,Monaco,VER,4,0.02
2023,Monaco,VER,5,0.0
2023,Monaco,VER,6,0.05
2023,Monaco,VER,7,0.26
2023,Monaco,VER,8,0.06
2023,Monaco,VER,9,0.88
2023,Monaco,VER,10,0.06
2023,Monaco,VER,11,0.39
2023,Monaco,VER,12,0.71
2023,Monaco,VER,13,0.16
2023,Monaco,VER,14,1.35
2023,Monaco,VER,15,0.09
2023,Monaco,VER,16,0.83
2023,Monaco,VER,17,0.15
2023,Monaco,VER,18,0.6
2023,Monaco,VER,19,0.01
2023,Monaco,VER,20,0.95
2023,Monaco,GAS,1,0.39
2023,Monaco,GAS,2,1.83
2023,Monaco,GAS,3,0.7
2023,Monaco,GAS,4,20.16
2023,Monaco,GAS,5,8.8
2023,Monaco,GAS,6,1.34
2023,Monaco,GAS,7,3.31
2023,Monaco,GAS,8,43.01
2023,Monaco,GAS,9,2.56
2023,Monaco,GAS,10,5.6
2023,Monaco,GAS,11,1.63
2023,Monaco,GAS,12,1.24
2023,Monaco,GAS,13,0.98
2023,Monaco,GAS,14,1.5
2023,Monaco,GAS,15,1.7
2023,Monaco,GAS,16,1.73
2023,Monaco,GAS,17,1.4
2023,Monaco,GAS,18,0.5
2023,Monaco,GAS,19,1.55
2023,Monaco,GAS,20,0.05
2023,Monaco,PER,1,0.58
2023,Monaco,PER,2,1.42
2023,Monaco,PER,3,0.17
2023,Monaco,PER,4,2.85
2023,Monaco,PER,5,0.85
2023,Monaco,PER,6,1.03
2023,Monaco,PER,7,1.36
2023,Monaco,PER,8,2.51
2023,Monaco,PER,9,1.11
2023,Monaco,PER,10,1.5
2023,Monaco,PER,11,3.78
2023,Monaco,PER,12,1.75
2023,Monaco,PER,13,0.78
2023,Monaco,PER,14,1.96
2023,Monaco,PER,15,2.42
2023,Monaco,PER,16,9.25
2023,Monaco,PER,17,5.7
2023,Monaco,PER,18,5.67
2023,Monaco,PER,19,54.08
2023,Monaco,PER,20,1.24
2023,Monaco,ALO,1,0.73
2023,Monaco,ALO,2,52.1
2023,Monaco,ALO,3,14.22
2023,Monaco,ALO,4,3.5
2023,Monaco,ALO,5,2.98
2023,Monaco,ALO,6,2.69
2023,Monaco,ALO,7,4.47
2023,Monaco,ALO,8,2.4
2023,Monaco,ALO,9,5.23
2023,Monaco,ALO,10,4.64
2023,Monaco,ALO,11,0.23
2023,Monaco,ALO,12,0.81
2023,Monaco,ALO,13,0.19
2023,Monaco,ALO,14,1.3
2023,Monaco,ALO,15,2.64
2023,Monaco,ALO,16,0.17
2023,Monaco,ALO,17,1.14
2023,Monaco,ALO,18,0.15
2023,Monaco,ALO,19,0.07
2023,Monaco,ALO,20,0.34
2023,Monaco,LEC,1,0.01
2023,Monaco,LEC,2,5.48
2023,Monaco,LEC,3,4.77
2023,Monaco,LEC,4,12.03
2023,Monaco,LEC,5,16.75
2023,Monaco,LEC,6,1.61
2023,Monaco,LEC,7,51.66
2023,Monaco,LEC,8,2.97
2023,Monaco,LEC,9,1.05
2023,Monaco,LEC,10,0.22
2023,Monaco,LEC,11,0.34
2023,Monaco,LEC,12,1.96
2023,Monaco,LEC,13,0.03
2023,Monaco,LEC,14,0.21
2023,Monaco,LEC,15,0.26
2023,Monaco,LEC,16,0.13
2023,Monaco,LEC,17,0.06
2023,Monaco,LEC,18,0.09
2023,Monaco,LEC,19,0.37
2023,Monaco,LEC,20,0.01
2023,Monaco,STR,1,0.05
2023,Monaco,STR,2,2.72
2023,Monaco,STR,3,0.77
2023,Monaco,STR,4,1.17
2023,Monaco,STR,5,1.96
2023,Monaco,STR,6,6.52
2023,Monaco,STR,7,0.93
2023,Monaco,STR,8,2.13
2023,Monaco,STR,9,1.61
2023,Monaco,STR,10,15.88
2023,Monaco,STR,11,1.65
2023,Monaco,STR,12,2.2
2023,Monaco,STR,13,0.69
2023,Monaco,STR,14,5.6
2023,Monaco,STR,15,48.73
2023,Monaco,STR,16,5.73
2023,Monaco,STR,17,0.59
2023,Monaco,STR,18,0.79
2023,Monaco,STR,19,0.2
2023,Monaco,STR,20,0.08
2023,Monaco,SAR,1,0.72
2023,Monaco,SAR,2,1.62
2023,Monaco,SAR,3,0.48
2023,Monaco,SAR,4,3.25
